Series,Label,Strength of Gun Laws (out of 100 points),"Gun Deaths per 100,000 Residents"
State,MS,3,29.7
State,LA,20.5,28.2
State,NM,40.5,27.5
State,AL,12.5,25.9
State,MT,5,24.5
State,MO,9,24.4
State,AK,9,22.7
State,AR,3,22.1
State,SC,18,21.3
State,TN,16.5,20.9
State,WY,6.5,20.6
State,AZ,8.5,20.5
State,OK,7.5,20.1
State,GA,5,20
State,NV,35,19.3
State,KY,9,18.9
State,IN,16.5,17.6
State,ID,5,17.5
State,CO,63,17.3
State,NC,25,17.1
State,KS,9.5,17
State,ND,11.5,16.5
State,WV,18.5,16.4
State,SD,5.5,16.1
State,TX,13.5,15.7
State,OH,13,15.7
State,VA,49,15.1
State,MI,35,15.1
State,PA,40,14.8
State,OR,68,14.6
State,IL,83,14.4
State,FL,27.5,14.4
State,WI,28,14.1
State,UT,12,14
State,MD,75,13.6
State,WA,69,12.6
State,NE,25,12.3
State,VT,39.5,12.2
State,DE,61.5,12.1
State,ME,20.5,12
State,IA,15.5,11.3
State,NH,9,10.3
State,MN,53.5,9.7
State,CA,89.5,8.7
State,CT,82.5,7
State,NY,83.5,5.3
State,NJ,79,5
State,HI,82.5,4.5
State,MA,81,3.7
State,RI,57.5,3.1
